lang,algo,family,instance,n,m,opt,k,time_ms,nodes,timed_out,replica
java,smart,hard,hard_n156_m8346_s4,156,8346,NA,NA,60000,NA,1,3
python,smart,hard,hard_n204_m14178_s0,204,14178,NA,NA,60000,NA,1,1
python,smart,hard,hard_n204_m14178_s0,204,14178,NA,NA,60000,NA,1,2
python,smart,hard,hard_n204_m14178_s0,204,14178,NA,NA,60000,NA,1,3
cpp,smart,hard,hard_n204_m14178_s0,204,14178,NA,NA,60000,NA,1,1
cpp,smart,hard,hard_n204_m14178_s0,204,14178,NA,NA,60000,NA,1,2
cpp,smart,hard,hard_n204_m14178_s0,204,14178,NA,NA,60000,NA,1,3
java,smart,hard,hard_n204_m14178_s0,204,14178,NA,NA,60000,NA,1,1
java,smart,hard,hard_n204_m14178_s0,204,14178,NA,NA,60000,NA,1,2
java,smart,hard,hard_n204_m14178_s0,204,14178,NA,NA,60000,NA,1,3
python,smart,hard,hard_n204_m14178_s1,204,14178,NA,NA,60000,NA,1,1
python,smart,hard,hard_n204_m14178_s1,204,14178,NA,NA,60000,NA,1,2
python,smart,hard,hard_n204_m14178_s1,204,14178,NA,NA,60000,NA,1,3
cpp,smart,hard,hard_n204_m14178_s1,204,14178,NA,NA,60000,NA,1,1
cpp,smart,hard,hard_n204_m14178_s1,204,14178,NA,NA,60000,NA,1,2
cpp,smart,hard,hard_n204_m14178_s1,204,14178,NA,NA,60000,NA,1,3
java,smart,hard,hard_n204_m14178_s1,204,14178,NA,NA,60000,NA,1,1
java,smart,hard,hard_n204_m14178_s1,204,14178,NA,NA,60000,NA,1,2
java,smart,hard,hard_n204_m14178_s1,204,14178,NA,NA,60000,NA,1,3
python,smart,hard,hard_n204_m14178_s2,204,14178,NA,NA,60000,NA,1,1
python,smart,hard,hard_n204_m14178_s2,204,14178,NA,NA,60000,NA,1,2
python,smart,hard,hard_n204_m14178_s2,204,14178,NA,NA,60000,NA,1,3
cpp,smart,hard,hard_n204_m14178_s2,204,14178,NA,NA,60000,NA,1,1
cpp,smart,hard,hard_n204_m14178_s2,204,14178,NA,NA,60000,NA,1,2
cpp,smart,hard,hard_n204_m14178_s2,204,14178,NA,NA,60000,NA,1,3
java,smart,hard,hard_n204_m14178_s2,204,14178,NA,NA,60000,NA,1,1
java,smart,hard,hard_n204_m14178_s2,204,14178,NA,NA,60000,NA,1,2
java,smart,hard,hard_n204_m14178_s2,204,14178,NA,NA,60000,NA,1,3
python,smart,hard,hard_n204_m14178_s3,204,14178,NA,NA,60000,NA,1,1
python,smart,hard,hard_n204_m14178_s3,204,14178,NA,NA,60000,NA,1,2
python,smart,hard,hard_n204_m14178_s3,204,14178,NA,NA,60000,NA,1,3
cpp,smart,hard,hard_n204_m14178_s3,204,14178,NA,NA,60000,NA,1,1
cpp,smart,hard,hard_n204_m14178_s3,204,14178,NA,NA,60000,NA,1,2
cpp,smart,hard,hard_n204_m14178_s3,204,14178,NA,NA,60000,NA,1,3
java,smart,hard,hard_n204_m14178_s3,204,14178,NA,NA,60000,NA,1,1
java,smart,hard,hard_n204_m14178_s3,204,14178,NA,NA,60000,NA,1,2
java,smart,hard,hard_n204_m14178_s3,204,14178,NA,NA,60000,NA,1,3
python,smart,hard,hard_n204_m14178_s4,204,14178,NA,NA,60000,NA,1,1
python,smart,hard,hard_n204_m14178_s4,204,14178,NA,NA,60000,NA,1,2
python,smart,hard,hard_n204_m14178_s4,204,14178,NA,NA,60000,NA,1,3
cpp,smart,hard,hard_n204_m14178_s4,204,14178,NA,NA,60000,NA,1,1
cpp,smart,hard,hard_n204_m14178_s4,204,14178,NA,NA,60000,NA,1,2
cpp,smart,hard,hard_n204_m14178_s4,204,14178,NA,NA,60000,NA,1,3
java,smart,hard,hard_n204_m14178_s4,204,14178,NA,NA,60000,NA,1,1
java,smart,hard,hard_n204_m14178_s4,204,14178,NA,NA,60000,NA,1,2
java,smart,hard,hard_n204_m14178_s4,204,14178,NA,NA,60000,NA,1,3
python,smart,hard,hard_n258_m22575_s0,258,22575,NA,NA,60000,NA,1,1
python,smart,hard,hard_n258_m22575_s0,258,22575,NA,NA,60000,NA,1,2
python,smart,hard,hard_n258_m22575_s0,258,22575,NA,NA,60000,NA,1,3
cpp,smart,hard,hard_n258_m22575_s0,258,22575,NA,NA,60000,NA,1,1
cpp,smart,hard,hard_n258_m22575_s0,258,22575,NA,NA,60000,NA,1,2
cpp,smart,hard,hard_n258_m22575_s0,258,22575,NA,NA,60000,NA,1,3
java,smart,hard,hard_n258_m22575_s0,258,22575,NA,NA,60000,NA,1,1
java,smart,hard,hard_n258_m22575_s0,258,22575,NA,NA,60000,NA,1,2
java,smart,hard,hard_n258_m22575_s0,258,22575,NA,NA,60000,NA,1,3
python,smart,hard,hard_n258_m22575_s1,258,22575,NA,NA,60000,NA,1,1
python,smart,hard,hard_n258_m22575_s1,258,22575,NA,NA,60000,NA,1,2
python,smart,hard,hard_n258_m22575_s1,258,22575,NA,NA,60000,NA,1,3
cpp,smart,hard,hard_n258_m22575_s1,258,22575,NA,NA,60000,NA,1,1
cpp,smart,hard,hard_n258_m22575_s1,258,22575,NA,NA,60000,NA,1,2
cpp,smart,hard,hard_n258_m22575_s1,258,22575,NA,NA,60000,NA,1,3
java,smart,hard,hard_n258_m22575_s1,258,22575,NA,NA,60000,NA,1,1
java,smart,hard,hard_n258_m22575_s1,258,22575,NA,NA,60000,NA,1,2
java,smart,hard,hard_n258_m22575_s1,258,22575,NA,NA,60000,NA,1,3
python,smart,hard,hard_n258_m22575_s2,258,22575,NA,NA,60000,NA,1,1
python,smart,hard,hard_n258_m22575_s2,258,22575,NA,NA,60000,NA,1,2
python,smart,hard,hard_n258_m22575_s2,258,22575,NA,NA,60000,NA,1,3
cpp,smart,hard,hard_n258_m22575_s2,258,22575,NA,NA,60000,NA,1,1
cpp,smart,hard,hard_n258_m22575_s2,258,22575,NA,NA,60000,NA,1,2
cpp,smart,hard,hard_n258_m22575_s2,258,22575,NA,NA,60000,NA,1,3
java,smart,hard,hard_n258_m22575_s2,258,22575,NA,NA,60000,NA,1,1
java,smart,hard,hard_n258_m22575_s2,258,22575,NA,NA,60000,NA,1,2
java,smart,hard,hard_n258_m22575_s2,258,22575,NA,NA,60000,NA,1,3
python,smart,hard,hard_n258_m22575_s3,258,22575,NA,NA,60000,NA,1,1
python,smart,hard,hard_n258_m22575_s3,258,22575,NA,NA,60000,NA,1,2
python,smart,hard,hard_n258_m22575_s3,258,22575,NA,NA,60000,NA,1,3
cpp,smart,hard,hard_n258_m22575_s3,258,22575,NA,NA,60000,NA,1,1
cpp,smart,hard,hard_n258_m22575_s3,258,22575,NA,NA,60000,NA,1,2
cpp,smart,hard,hard_n258_m22575_s3,258,22575,NA,NA,60000,NA,1,3
java,smart,hard,hard_n258_m22575_s3,258,22575,NA,NA,60000,NA,1,1
java,smart,hard,hard_n258_m22575_s3,258,22575,NA,NA,60000,NA,1,2
java,smart,hard,hard_n258_m22575_s3,258,22575,NA,NA,60000,NA,1,3
python,smart,hard,hard_n258_m22575_s4,258,22575,NA,NA,60000,NA,1,1
python,smart,hard,hard_n258_m22575_s4,258,22575,NA,NA,60000,NA,1,2
python,smart,hard,hard_n258_m22575_s4,258,22575,NA,NA,60000,NA,1,3
cpp,smart,hard,hard_n258_m22575_s4,258,22575,NA,NA,60000,NA,1,1
cpp,smart,hard,hard_n258_m22575_s4,258,22575,NA,NA,60000,NA,1,2
cpp,smart,hard,hard_n258_m22575_s4,258,22575,NA,NA,60000,NA,1,3
java,smart,hard,hard_n258_m22575_s4,258,22575,NA,NA,60000,NA,1,1
java,smart,hard,hard_n258_m22575_s4,258,22575,NA,NA,60000,NA,1,2
