lang,algo,family,instance,n,m,opt,k,time_ms,nodes,timed_out,replica
cpp,smart,random,random_n50_m100_s0,50,100,NA,36,35.900,68516,0,1
java,smart,random,random_n50_m100_s0,50,100,NA,36,71.158,68516,0,1
python,smart,random,random_n50_m100_s0,50,100,NA,36,3177.976,68516,0,2
cpp,smart,random,random_n50_m100_s0,50,100,NA,36,35.848,68516,0,2
java,smart,random,random_n50_m100_s0,50,100,NA,36,89.117,68516,0,2
python,smart,random,random_n50_m100_s0,50,100,NA,36,3248.372,68516,0,3
cpp,smart,random,random_n50_m100_s0,50,100,NA,36,36.534,68516,0,3
java,smart,random,random_n50_m100_s0,50,100,NA,36,108.683,68516,0,3
python,smart,random,random_n50_m100_s1,50,100,NA,36,24311.134,512733,0,1
cpp,smart,random,random_n50_m100_s1,50,100,NA,36,268.112,512733,0,1
java,smart,random,random_n50_m100_s1,50,100,NA,36,225.566,512733,0,1
python,smart,random,random_n50_m100_s1,50,100,NA,36,24450.541,512733,0,2
cpp,smart,random,random_n50_m100_s1,50,100,NA,36,268.179,512733,0,2
java,smart,random,random_n50_m100_s1,50,100,NA,36,249.289,512733,0,2
python,smart,random,random_n50_m100_s1,50,100,NA,36,24559.271,512733,0,3
cpp,smart,random,random_n50_m100_s1,50,100,NA,36,268.833,512733,0,3
java,smart,random,random_n50_m100_s1,50,100,NA,36,241.689,512733,0,3
python,smart,random,random_n50_m100_s2,50,100,NA,34,5690.870,127310,0,1
cpp,smart,random,random_n50_m100_s2,50,100,NA,34,64.448,127310,0,1
java,smart,random,random_n50_m100_s2,50,100,NA,34,112.540,127310,0,1
python,smart,random,random_n50_m100_s2,50,100,NA,34,5751.950,127310,0,2
cpp,smart,random,random_n50_m100_s2,50,100,NA,34,64.141,127310,0,2
java,smart,random,random_n50_m100_s2,50,100,NA,34,79.699,127310,0,2
python,smart,random,random_n50_m100_s2,50,100,NA,34,5717.215,127310,0,3
cpp,smart,random,random_n50_m100_s2,50,100,NA,34,64.391,127310,0,3
java,smart,random,random_n50_m100_s2,50,100,NA,34,75.423,127310,0,3
python,smart,random,random_n50_m100_s3,50,100,NA,34,3433.377,75780,0,1
cpp,smart,random,random_n50_m100_s3,50,100,NA,34,38.499,75780,0,1
java,smart,random,random_n50_m100_s3,50,100,NA,34,86.829,75780,0,1
python,smart,random,random_n50_m100_s3,50,100,NA,34,3463.717,75780,0,2
cpp,smart,random,random_n50_m100_s3,50,100,NA,34,38.406,75780,0,2
java,smart,random,random_n50_m100_s3,50,100,NA,34,102.993,75780,0,2
python,smart,random,random_n50_m100_s3,50,100,NA,34,3463.057,75780,0,3
cpp,smart,random,random_n50_m100_s3,50,100,NA,34,38.547,75780,0,3
java,smart,random,random_n50_m100_s3,50,100,NA,34,55.687,75780,0,3
python,smart,random,random_n50_m100_s4,50,100,NA,35,12865.325,261710,0,1
cpp,smart,random,random_n50_m100_s4,50,100,NA,35,139.781,261710,0,1
java,smart,random,random_n50_m100_s4,50,100,NA,35,158.039,261710,0,1
python,smart,random,random_n50_m100_s4,50,100,NA,35,12844.321,261710,0,2
cpp,smart,random,random_n50_m100_s4,50,100,NA,35,140.511,261710,0,2
java,smart,random,random_n50_m100_s4,50,100,NA,35,148.164,261710,0,2
python,smart,random,random_n50_m100_s4,50,100,NA,35,12890.020,261710,0,3
cpp,smart,random,random_n50_m100_s4,50,100,NA,35,141.059,261710,0,3
java,smart,random,random_n50_m100_s4,50,100,NA,35,177.227,261710,0,3
python,smart,random,random_n50_m200_s0,50,200,NA,NA,60000,NA,1,1
cpp,smart,random,random_n50_m200_s0,50,200,NA,43,39005.202,57998790,0,1
java,smart,random,random_n50_m200_s0,50,200,NA,NA,NA,NA,NA,1
python,smart,random,random_n50_m200_s0,50,200,NA,NA,60000,NA,1,2
cpp,smart,random,random_n50_m200_s0,50,200,NA,43,39013.664,57998790,0,2
java,smart,random,random_n50_m200_s0,50,200,NA,43,29843.674,57998790,0,2
python,smart,random,random_n50_m200_s0,50,200,NA,NA,60000,NA,1,3
cpp,smart,random,random_n50_m200_s0,50,200,NA,43,39145.076,57998790,0,3
java,smart,random,random_n50_m200_s0,50,200,NA,43,29924.244,57998790,0,3
python,smart,random,random_n50_m200_s1,50,200,NA,NA,60000,NA,1,1
cpp,smart,random,random_n50_m200_s1,50,200,NA,NA,60000,NA,1,1
